SA2_MAIN16,localities,no_vehicle,hospital,police_station,fire_station,ambulance_station,ses_facility
108021158,"Hyland Park (L), Nambucca Heads, Remainder of State/Territory (NSW), Valla Beach",11.7,0,1,1,1,0
108011153,"Boomerang Beach - Blueys Beach (L), Coomba Park (L), Elizabeth Beach (L), Forster - Tuncurry, Green Point (L), Hallidays Point - Black Head (L), Hallidays Point - West (L), Nabiac (L), Remainder of State/Territory (NSW), Smiths Lake",2.5,0,1,7,0,2
108031161,Lord Howe Island (L),-999,1,1,0,0,1
108011151,"Bulahdelah, Remainder of State/Territory (NSW), Stroud (L)",2.5,1,2,10,2,1
108021160,No localities found,6.5,0,1,2,1,1
108041164,"North Shore (L), Port Macquarie, Remainder of State/Territory (NSW), Riverside (L)",9.2,1,0,1,1,1
105031106,"Geurie (L), Remainder of State/Territory (NSW), Wellington, Yeoval (L)",9.3,1,4,15,1,1
108041163,"Port Macquarie, Remainder of State/Territory (NSW)",6.4,0,1,0,0,0
108041162,"Bonny Hills, Bonny Hills - West (L), Camden Haven, Kendall (L), King Creek (L), Lake Cathie, Remainder of State/Territory (NSW), Wauchope",5.2,0,1,5,1,1
108021159,"Bowraville (L), Macksville, Remainder of State/Territory (NSW), Valla Beach",3.4,0,1,13,0,0
108041166,"Beechwood (L), King Creek (L), Port Macquarie, Remainder of State/Territory (NSW), Wauchope",5.3,1,1,6,1,1
108051171,No localities found,7.2,1,1,2,0,1
108051168,"Diamond Beach (L), Hallidays Point - Black Head (L), Hallidays Point - West (L), Manning Point (L), Old Bar, Rainbow Flat (L), Red Head (L), Remainder of State/Territory (NSW), Tallwoods Village (L), Wallabi Point (L)",2.9,0,0,4,0,0
109011172,"Albury - Wodonga (Albury Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.)",6.7,1,0,1,0,1
108051169,No localities found,11.9,1,1,3,1,2
109011173,"Albury - Wodonga (Albury Part), Remainder of State/Territory (NSW)",7.2,0,0,1,0,0
109011174,"Albury - Wodonga (Albury Part), Albury - Wodonga (Wodonga Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.)",15.3,1,1,2,0,0
109011176,"Albury - Wodonga (Albury Part), Remainder of State/Territory (NSW)",12,0,0,2,1,1
109021178,"Dareton (L), Merbein, Mildura - Buronga (Buronga Part), Mildura - Buronga (Mildura Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Wentworth",7.5,1,3,5,1,1
104011081,"Clarenza (L), Coutts Crossing (L), Glenreagh (L), Grafton, Lawrence (L), Maclean, Minnie Water (L), Remainder of State/Territory (NSW), Tucabia (L), Ulmarra (L), Waterview Heights (L), Wooli (L)",3,0,6,27,0,5
109031180,"Corowa - Wahgunyah (Corowa Part), Corowa - Wahgunyah (Wahgunyah Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.)",8.8,1,1,2,1,1
108021156,"Crescent Head (L), Frederickton, Hat Head (L), Kempsey, Remainder of State/Territory (NSW), Smithtown - Gladstone (L), Stuarts Point (L)",6.6,0,3,16,0,1
109031182,"Deniliquin, Remainder of State/Territory (NSW)",8.9,1,1,2,1,1
109031184,"Echuca - Moama (Echuca Part), Echuca - Moama (Moama Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.)",5.4,0,1,2,0,1
108051167,"Gloucester, Remainder of State/Territory (NSW)",6.4,1,1,14,1,1
109031181,"Bundalong (L), Howlong, Oaklands (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Urana (L), Yarrawonga - Mulwala (Mulwala Part), Yarrawonga - Mulwala (Yarrawonga Part)",3.5,1,5,14,0,1
109011175,"Albury - Wodonga (Albury Part), Culcairn, Henty (L), Holbrook, Jindera, Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Walla Walla (L)",3.2,3,4,20,1,2
110011186,"Armidale, Remainder of State/Territory (NSW)",9.9,1,1,4,1,1
